chroma_stft_mean,spectral_centroid_mean,spectral_bandwidth_mean,rolloff_mean,zcr_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,label_int,label_str,binary_label,tonnetz_1_mean,tonnetz_2_mean,tonnetz_3_mean,tonnetz_4_mean,tonnetz_5_mean,tonnetz_6_mean,chroma_cqt_mean,chroma_cqt_std
0.19318247,927.3247942588662,1037.4568620286225,1879.1929362532533,0.0418345803561942,-369.80652,151.09053,-32.866142,15.76225,25.788692,-30.553553,-8.264951,-3.0430658,-30.780962,-14.160885,-11.445043,-24.750877,-8.323787,21,A minor,minor,0.24936221030190764,0.04843629348316766,-0.3775148321865793,-0.07654249328452375,0.06235477790736278,0.10707611166826687,0.22249267995357513,0.2900247275829315
0.29064834,1218.5513395338658,1029.5835044242149,2238.1277202843185,0.0780180617932293,-318.95096,184.79614,-72.51113,-2.846012,17.779148,-45.631092,-20.631008,-3.176894,-34.24672,-15.615547,-6.0272107,-24.588144,-11.252313,8,G#/Ab major,major,0.10232955312061137,0.050619026763969135,0.0027280047539351873,-0.025667877472633032,-0.00824040402798732,0.010023856423786613,0.38959452509880066,0.2823846936225891
0.31258267,1542.15924246645,947.0943704755704,2656.2573616451805,0.1324030147524295,-310.16385,197.74162,-116.262314,-15.371613,22.784693,-61.62016,-10.397407,4.7188516,-46.057377,-5.2109003,10.382863,-29.379593,-9.475649,5,F major,major,0.03145848066534672,0.037265837359713436,-0.025765701463427233,0.0056400300282892345,-0.024943491663951208,0.0062100172058844405,0.4926646053791046,0.26330873370170593
0.30202574,2140.650512162917,2390.452253087612,4463.778455432645,0.0941873053399916,-104.646324,97.025055,-5.7382226,6.657701,3.5128973,5.878133,-1.6732806,3.0090063,3.1571062,6.2049394,0.8030119,6.274142,-3.9717104,2,D major,major,0.37002842233887584,0.07513196163141982,-0.10716534663616971,-0.21886486960609594,-0.0712432244326945,-0.002617096190028207,0.24745658040046692,0.28553855419158936
0.37719098,2282.2092113043054,2275.2127951736074,4549.253667394778,0.1131100179448794,-28.240097,95.18188,-27.143726,11.511613,-10.806025,3.523846,-2.033946,2.9933197,-5.1486845,8.394785,-7.5303326,-0.5684105,-5.4605355,12,C minor,minor,0.01591629597972598,0.16188152854703816,0.03364736842598588,0.11564208867552385,0.0017407003077395185,0.0416159287841771,0.42852336168289185,0.25807586312294006
0.36135447,1815.793102650018,2157.844664298598,3546.948262515612,0.0718282995507216,-153.1994,109.41235,3.4199317,16.222017,4.8573422,-1.6650797,0.9883852,3.8620453,-2.2910504,5.3104467,-1.4973428,1.3782929,-1.59537,0,C major,major,-0.0017678273166924366,-0.012650711793363419,-0.02250233957887282,0.038215792003306236,-0.007482981957661102,-0.010544998114532982,0.5830063819885254,0.23509053885936737
0.29721087,1506.1375950218687,1875.4824245901048,3073.3746062368496,0.0622147022841749,-160.98032,122.908325,-12.380387,13.208423,1.567039,13.355424,5.669195,-4.288072,-15.469813,-4.8219614,-9.368105,-5.6621466,-11.679107,2,D major,major,0.48058068025754047,0.027250747380643807,-0.29076604399970196,-0.328774541337562,-0.1127244763897738,0.08657271880656481,0.2329542487859726,0.29784783720970154
0.2915201,1463.4615713206815,1969.3052204318697,3047.219028128321,0.0633601222104144,-160.54012,121.60885,7.491587,23.811766,1.7014513,10.122372,-2.7726233,-1.45292,-3.7250144,1.2625115,-6.1235204,-5.387408,-9.491813,19,G minor,minor,0.29933830893664826,0.30670710043238736,0.1829102237258338,-0.25342602347877285,-0.007866654421714808,-0.10138058997024826,0.2456381618976593,0.28564414381980896
0.2252119,1024.3994875753615,818.9640887016758,1618.267146895957,0.0647125677069899,-260.60028,159.26793,-52.032818,-57.04281,-13.819885,-31.384918,-37.701256,-18.347519,-11.135222,-19.38936,-17.837942,-4.3897753,-8.89421,9,A major,major,0.13500821219271122,-0.14712690454998975,-0.05238007931056039,0.0686642147826347,-0.0021537005932514425,-0.006751626085843684,0.33752796053886414,0.2964497208595276
0.2925383,1513.5223183624946,1052.5044898286917,2440.47382683154,0.1011973614466481,-328.0495,127.48476,-90.57943,-22.483799,-3.1343484,-28.892118,-23.900805,-22.793135,-9.79368,-10.520858,-11.080092,-7.212911,-20.814688,11,B major,major,-0.04871274294719925,-0.10637747061768851,0.0163457838121451,-0.1607150391925442,-0.0013409413962306722,0.029252001157673846,0.42896580696105957,0.2928192913532257
